Designator,Mid X,Mid Y,Layer,Rotation
C1,161.5000mm,-125.0000mm,Top,0
C2,137.2500mm,-70.7500mm,Top,90
C3,132.5000mm,-71.5000mm,Top,90
C4,163.7500mm,-127.5000mm,Top,270
C5,137.2500mm,-127.2500mm,Top,270
C6,167.2500mm,-106.2500mm,Top,180
COUT1,140.4500mm,-104.5000mm,Top,180
COUT2,140.4500mm,-102.0000mm,Top,180
Cbst1,145.9250mm,-99.7500mm,Top,0
Cch340c1,140.2500mm,-115.2500mm,Top,0
Cch340c2,140.2500mm,-113.7500mm,Top,0
Ccomp1,158.7250mm,-101.2500mm,Top,0
Cin1,146.4250mm,-96.5000mm,Top,270
Cin2,144.4250mm,-97.2500mm,Top,90
Cled1,169.2250mm,-114.5000mm,Top,0
Cled2,165.2100mm,-114.3800mm,Top,0
Css1,158.7000mm,-98.7500mm,Top,180
D1,139.7500mm,-123.5000mm,Top,180
D2,151.7500mm,-123.6600mm,Top,270
D3,152.3400mm,-121.5000mm,Top,180
D4,144.7500mm,-121.5000mm,Top,0
D5,165.2500mm,-116.6500mm,Top,0
D6,169.2500mm,-116.8000mm,Top,0
D7,140.7500mm,-130.2500mm,Top,90
J1,148.5000mm,-130.4125mm,Top,0
L1,145.2000mm,-103.0000mm,Top,180
Q1,155.6875mm,-111.2500mm,Top,0
Q2,157.3125mm,-114.9500mm,Top,0
R1,147.2500mm,-123.0000mm,Top,90
R2,150.2500mm,-123.2500mm,Top,90
R3,164.2500mm,-110.2500mm,Top,90
R5,136.2500mm,-87.2500mm,Top,90
R6,136.2500mm,-90.7500mm,Top,0
R7,156.5000mm,-124.2500mm,Top,90
R8,145.2500mm,-111.7500mm,Top,90
R9,147.5000mm,-112.5000mm,Top,180
R10,168.0000mm,-104.0000mm,Top,270
R11,166.5000mm,-104.0000mm,Top,270
R12,164.7500mm,-122.5000mm,Top,0
Rbot1,155.4500mm,-105.0000mm,Top,90
Rcomp1,158.7000mm,-102.7500mm,Top,0
Rled1,165.3250mm,-119.0000mm,Top,0
Rled2,169.2500mm,-119.0000mm,Top,0
Rled3,140.7500mm,-127.2500mm,Top,90
Rtop1,153.9500mm,-105.0000mm,Top,90
S1,161.2500mm,-128.9000mm,Top,270
S2,156.5000mm,-129.0750mm,Top,270
S3,169.3250mm,-122.5000mm,Top,0
U1,147.9300mm,-75.4900mm,Top,0
U2,147.0950mm,-117.0000mm,Top,90
U3,152.1050mm,-100.6250mm,Top,0
